id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
5782,get hungry,,eat some corn on the cob,eat this meal,join the family for dinner,buy lunch and have a meeting while walking back to the office.,walk up to the chefs and pardon myself before inquiring,lan,lan,targ,vis,vis,2
5783,am feeling lonely,,eat cake and enjoy myself with this family and baby.,take my granddaughter out to eat,eat dessert at the table,go to a restaurant with a group of men.,buy food from a vendor,lan,targ,lan,vis,vis,1
5786,if i were with my parents,,meet a group of people to have a meal together,make myself a meal in the kitchen,i would prepare dinner,drink sodas and eat with outside.,get some food from the kitchen,vis,lan,targ,vis,lan,2
5789,want to socialize,,take a seat at the table,cheer on one of the teams on the tennis court,go to the restaurant and ask for tacos,gather with a group of people at a dining table,drink sodas and eat with outside.,lan,lan,vis,targ,vis,3
5803,if i am hungry,,i will go to kitchen,i will go to pizza,i will buy food at the market,talk and eat with the people,walk up to the chefs and pardon myself before inquiring,lan,lan,targ,vis,vis,2
5805,if im hungry,,use the menu when the man is done,do an overarm serve,i will go to eat with my family,make myself a meal in the kitchen,eat dessert at the table,vis,vis,targ,lan,lan,2
5810,feel hunger,,order food,go out with my partner to walk and eat in the street.,order several boxes of pizza and eat them,buy lunch and have a meeting while walking back to the office.,eat a meal with children,targ,vis,lan,vis,lan,0
5812,want to try different flavors,,sit at the dinner table with my family.,try my meal with the sauce to get a different taste,invite my work group to dinner,cook all this food.,make something easy to eat that we both like..such as pizza,vis,targ,vis,lan,lan,1
5814,want to make a meal,,walk down the street to the shops,buy food at the street market,i will sit in a boat and cook food.,i will sit here and enjoy the meal,go to a bakery,lan,targ,vis,vis,lan,1
5820,have an important question to ask,,walk up to the chefs and pardon myself before inquiring,wait for the chefs to make my food,visit the man at the internet cafe,join this family for a meal,steal the bun from the man,targ,lan,vis,vis,lan,0
5822,am feeling hungry,,sit at the table and talk,pick up some fresh produce,smile at the people while i buy vegetables,shop the market for food.,sit down and eat dinner with the family,vis,lan,lan,targ,vis,3
5828,feel hungry,,be able to get rid of this sad food.,take some of the food from the kitchen,sit down at the table with the people and eat,take a bite of the burger,do an overarm serve,vis,lan,targ,lan,vis,2
5830,am hungry or thirsty,,go and eat some food or drink,jion the family at the dinner table,eat some pizza and soda at the park,go to the restaurant and ask for a glass of wine,meet the guys at the restaurant .,targ,vis,lan,lan,vis,0
5832,i feel hungry,,i will take a picture of the people eating their dinner,i will eat the salad.,sit down and eat with this couple,sit with the man and cat at the table.,meet a group of people to have a meal together,targ,lan,vis,lan,vis,0
5835,am feeling generous,,eat all those pastries myself.,walk up to the chefs and pardon myself before inquiring,share my food with my friends,will go to an outdoor festival and eat grilled hot dogs,make myself a meal in the kitchen,lan,vis,targ,vis,lan,2
5842,get lonely,,eat a restaurant meal and have a glass of wine,go out to eat with my family,assist the staff in the cafeteria,instead be focused on what they were about to eat,i have dinner with my family with two bottles of wine,lan,targ,vis,vis,lan,1
5845,arrive hungry at my house.,,go out with my partner to walk and eat in the street.,go out to the park with my father,try their soup.,go for a walk in my driveway,serve the customers,targ,lan,vis,lan,vis,0
5846,am lonely and hungry,,order my own pizza and let these people eat theirs,feed my family,take my friend to eat at subway,eat pizza with the man,i will let the boy play and i chop the food,lan,vis,targ,lan,vis,2
5847,feel like celebrating today,,i will tell them to hurry up with the food.,cook something to eat,have a nice meal with my family,take my friend to eat at subway,help the kids make dinner,vis,lan,targ,vis,lan,2
5853,want to socialize,,make the food taste much better,i will eat dinner with other people.,i will eat everything,stop in at the local starbucks and have a bite and coffee at the counter,i will go to pizza,vis,targ,lan,vis,lan,1
5862,am feeling hungry,,join a group of people outdoors cooking food,buy myself some pastries in the bakery,buy a croissant at the bakery,i will tell them to hurry up with the food.,eat a baguette in the meeting,vis,lan,lan,vis,targ,4
5865,was feeling hungry,,join a group of people outdoors cooking food,eat one of the pastries.,eat a meal with this couple.,i will sit in a boat and cook food.,eat the cake with the men,vis,lan,targ,vis,lan,2
5875,feel hungry,,go out for a pizza,meet my friends at the restaurant,visit cafeteria and eat something,i will look at the menu first,eat some snacks off the plate,lan,vis,targ,vis,lan,2
5877,want to spend quality time with a friend,,go to a pizzeria with friends.,instead be focused on what they were about to eat,cook something to eat,i will try the food,go to a restaurant to eat a meal,lan,vis,lan,vis,targ,4
5879,want to pose with my child at the celebration,,cook a large meal,sit at the table and talk,hold them up near the food,i will go to eat with my family,be able to feed the baby,lan,vis,targ,vis,lan,2
5884,have an ounce of maternal instinct,,i will go to buffet,compliment the boy on eating his veggies.,gather with a group of people at a dining table,eats more sweets,eat outside like the little boy.,vis,targ,vis,lan,lan,1
5890,am hungry,,i will join my friend for a large tasty sandwich,will sit down with the people and eat,share food with the people and the dog,go out to dinner at a fancy restaurant,make them a nice dinner with my husband,lan,targ,lan,vis,vis,1
5892,am feeling hungry,,visit the man at the internet cafe,eat a meal with children,sit down to a meal,take some of the food from the kitchen,assist the staff in the cafeteria,vis,lan,targ,lan,vis,2
5902,forgot to cook,,help replenish the food for this table,eat a pizza for dinner at a table,eat pieces of cake at a table surrounded by friends,observe them as they prepare the food,eat out at a restaurant,vis,lan,lan,vis,targ,4
5912,want to socialize,,order a pizza like these people are eating,eat a restaurant meal and have a glass of wine,cut my food with a knife,do an overarm serve,go to the restaurant and enjoy the food with other people,lan,lan,vis,vis,targ,4
5917,am in a sociable mood,,i will tell them to hurry up with the food.,go out to lunch with friends,play some videogames with my friends,eat cake with friends and family,observe them as they prepare the food,vis,targ,lan,lan,vis,1
5918,want to get some fun with all my school friends,,buy a pizza to eat too,cut my food with a knife,get a sandwich from the table,eat spicy mexican food,go to a restaurand and ask for food on a large table for all of us,lan,vis,lan,vis,targ,4
5922,want to eat,,make them a delicious meal in the kitchen,try my meal with the sauce to get a different taste,make the food taste much better,jion the family at the dinner table,take my children to the birthday party and chat to other grown ups while the children eat food,lan,vis,vis,targ,lan,3
5928,if i feeling very hungry,,do an overarm serve,blindfold myself and try to eat a hanging doughbut,take a bite of the burger,i will go to eating,serve the customers,vis,lan,lan,targ,vis,3
5932,am feeling hungry,,sit at a white table with my family,go and buy some food,buy some fruit from this stall,buy a pizza to eat too,assist the staff in the cafeteria,vis,targ,lan,lan,vis,1
5933,want to eat,,go to the kitchen to get food,cook some breakfast,meet my friends at an outdoor restaurant,jion the family at the dinner table,walk over to the food truck and buy a hotdog.,targ,lan,vis,vis,lan,0
5935,feel hungry,,grab a pizza,get some pizza,have lunch with the kids and family,sit at the dinner table with my family.,grab a plate and get some food,lan,lan,vis,vis,targ,4
5939,feel like celebrating,,sit at a white table with my family,eat at the table with the women,sit down at the table and enjoy a glass of wine.,i will tell them to hurry up with the food.,take my friend to eat at subway,targ,lan,lan,vis,vis,0
5940,was feeling hungary,,eat a meal a hot dog with friends,sit down and eat pizza,eat a hot dog,help replenish the food for this table,observe them as they prepare the food,targ,lan,lan,vis,vis,0
5941,want something to eat,,go up to the counter and order some pizza.,compete in a hot dog eating contest,assist the staff in the cafeteria,buy a pizza,go into the restaurant and buy some food,lan,vis,vis,lan,targ,4
5944,to spend time with my friends,,i will get some food,eat at the table with the women,join them for lunch and drinks at a restaurant,sit at the table and drink and visit with others,i will eat some food.,vis,lan,targ,lan,vis,2
5945,feel peckish,,try my meal with the sauce to get a different taste,take a huge bite out of my sandwich,pinch some food,take a bite of the burger,take my friend to eat at subway,vis,lan,targ,lan,vis,2
5951,am feeling hungry,,make some food with eggs noodles and vegtables,grab a pot and cook food,stop in at the local starbucks and have a bite and coffee at the counter,gather with a group of people at a dining table,make some chicken to eat.,lan,lan,vis,vis,targ,4
5968,want to eat,,visit the restaurant and enjoy some of the food on offer.,cut my food with a fork and knife.,sit down and eat pizza,finish a whole pizza,observe them as they prepare the food,vis,targ,lan,lan,vis,1
5970,am feeling hungry,,instead be focused on what they were about to eat,visit the restaurant and enjoy some of the food on offer.,take pictures of the food i cook,order pizza at my favorite italian restaurant,cut my food with a knife,vis,targ,lan,lan,vis,1
5972,feel like socializing,,sit at the table and talk,sit at a table and tell others what to do,snap a photo of my pieces of food,go to the restaurant and ask for tacos,go to lunch and enjoy the group of friends i am with,targ,lan,vis,vis,lan,0
5974,am feeling hungry,,i will go to pizza,i will order a meal in the restaurant,join the group to have something to eat,i will go to the kitchen,join a group of people outdoors cooking food,lan,targ,vis,lan,vis,1
5978,want my children to learn,,sit at a white table with my family,stop in at the local starbucks and have a bite and coffee at the counter,sit down at the table with the people.,observe them as they prepare the food,see if there is anything to eat in the kitchen,vis,vis,lan,targ,lan,3
5990,facing the customers,,sit down and eat dinner with the family,order some pizza like the woman in the restaurant,i will go to eating,buy these people a round of drinks,serve the customers,vis,lan,vis,lan,targ,4
5991,am craving something sweet to eat,,sit down for a slice of cake,eat pieces of cake at a table surrounded by friends,take a plate and help myself to some of the desserts on the table,shop the market for food.,serve the customers,lan,lan,targ,vis,vis,2
5999,want to eat something tasty,,go to a pizzeria with friends.,go to the restaurant and ask for tacos,go up to the counter and order some pizza.,jion the family at the dinner table,sit at a white table with my family,lan,targ,lan,vis,vis,1
6002,am feeling hungry,,make them a delicious meal in the kitchen,see if there is anything to eat in the kitchen,grab a plate and partake of the food with the women.,i will go to wok,feed my family,lan,lan,targ,vis,vis,2
6006,want to share,,put food in people's hand.,buy myself a hotdog for my lunch,i will sit here and enjoy the meal,try my meal with the sauce to get a different taste,eat the dessert with a fork.,targ,lan,vis,vis,lan,0
6015,i feel sorry for the child cooking instead of playing,,i will let the boy play and i chop the food,i will assist on the kitchen,eat with these people,i will continue playing with the frisbee,try their soup.,targ,lan,vis,lan,vis,0
6022,feel hungry,,go to the park with a friend to pitch to me,have a pankcake at the picnic,go to the park,try my meal with the sauce to get a different taste,will sit down with the people and eat,lan,targ,lan,vis,vis,1
6024,want to be helpful,,give my pet a treat,sit down at a free table and order dessert and coffee.,sit at the table and talk,sit back and feed the birds with him,empty the bucket of food out for the birds,lan,vis,vis,lan,targ,4
6061,have brought my lunch with me,,eat one of the pastries.,have lunch with an indian family at their dinner table,see what's to eat in the kitchen,take a place at the counter next to the people and begin eating.,meet my friends at an outdoor restaurant,lan,vis,lan,targ,vis,3
6063,was at work,,eat a piece of their vegetable pizza,eat the plate full of food,join these people in the kitchen area to eat,go out to lunch with friends,i will go to wok,lan,lan,targ,vis,vis,2
6064,am invited,,instead be focused on what they were about to eat,sit down and eat pizza,take a place at the table and have a meal,visit the man at the internet cafe,eat pizza at this restaurant.,vis,lan,targ,vis,lan,2
6066,don't want to cook,,help replenish the food for this table,will sit down with the people and eat,go to lunch with my colleagues and have pizza.,go out to a restaurant,invite them to the restaurant and talk with them,vis,vis,lan,targ,lan,3
6086,need to get dinner,,will sit down with the people and eat,go to a pizzeria with friends.,go to a restaurant,have drinks with friends at a restaurant,compliment the boy on eating his veggies.,vis,lan,targ,lan,vis,2
6093,need to complete a task,,sit on a log and eat a donut.,buy lunch and have a meeting while walking back to the office.,i will get some food,have a business meeting outside instead.,i will try the food,lan,targ,vis,lan,vis,1
6109,feel hungry,,order a giant pizza,i will sit down and eat,closely observe what i am about to eat,sit down and eat pizza,go to a restaurant and order a big sandwich,lan,vis,vis,lan,targ,4
6129,feel sociable and hungry,,have a meal with a group of people,sit at a table and drink wine with friends,eat with the woman,i will sit down and eat,i will sit here and enjoy the meal,targ,lan,lan,vis,vis,0
6134,want to socialize,,eat and drink with a group of people.,have some drinks out with friends,try their soup.,eat desserts with my friends,i will look at the menu first,targ,lan,vis,lan,vis,0
6136,feel like eating,,buy a pizza to eat too,cut my food with a knife,i will eat some food.,go to a pizzeria with friends.,join the people in the restaurant to enjoy a meal,lan,vis,vis,lan,targ,4
6145,want to drink fresh milk,,help the man build the bird cage,give the girl another cracker to feed the giraffe,see what type of cows are present,sit back and feed the birds with him,look for giraffes at a farm.,vis,lan,targ,vis,lan,2
6146,get strong enogh,,go to the zoo and feed giraffes,i will accompany the man and enjoy hunting the animals,let out a wolf whistle to compliment the man's legs,hold them up near the food,be able to catch the livestock,lan,vis,vis,lan,targ,4
6147,don't want to get wet,,run away from the cows,keep the kite out of the trees,give the girl another cracker to feed the giraffe,make some more knit animals to add to the scene,i will accompany the man and enjoy hunting the animals,targ,lan,lan,vis,vis,0
6148,get home early enough from work,,leave the women to their game,i will leave this woman as her actions are confusing,i will cut the grass once these women leave.,stand close to the bull and take a photograph,watch and learn how to milk a cow,lan,lan,targ,vis,vis,2
6152,want to learn about farming,,ride a horse,ride the horse,i will throw corn to those birds.,i will need to shave the sheep,talk to the man milking the cow.,lan,lan,vis,vis,targ,4
6156,want to get back to nature,,eat a dog with sausage,eat a hot dog,get fresh milk from a cow,approach these guys and join in the conservation.,help liberate trapped animals,lan,lan,targ,vis,vis,2
6163,feel brave,,eat a hot dog like the lady,take my child to pet the horse,help liberate trapped animals,i will stay and observe this bird,try to milk the cow,lan,lan,vis,vis,targ,4
6164,am free,,put up my umbrella,go to the field and see the cows,see what type of cows are present,feed a giraffe.,help the man build the bird cage,lan,vis,vis,lan,targ,4
6165,want to get a closer look,,feed the giraffe.,help liberate trapped animals,buy a bird,wait my turn to pet the cow,play with the bear,lan,vis,vis,targ,lan,3
6166,i want to distract myself a weekend,,go to the zoo and watch the elephants,i would go to the countryside to see a cow,i will move the big bird,i will throw corn to those birds.,try and feed the giraffe next,lan,targ,vis,vis,lan,1
6167,saw this,,approach these guys and join in the conservation.,make some more knit animals to add to the scene,help myself to some of the food from the table,feel upset about the chickens,instead order me something good to eat off the menu,vis,vis,lan,targ,lan,3
6173,want to be happier,,eat a freshly cooked pig,go to the farm and feed a cow an apple,want real animals,i will move the big bird,i will take my child to the zoo to feed the animals,lan,targ,vis,vis,lan,1
6176,if i am being responsible,,i will eat some food,i would do my best job,watch the man sheer the sheep,stand close to the bull and take a photograph,i will do my job and feed the animals,lan,lan,vis,vis,targ,4
6178,am curious,,feed the giraffe a carrot,watch how the man shears the sheep,i will throw corn to those birds.,keep the kite out of the trees,vaccinate the cows so they are healthy,lan,targ,vis,lan,vis,1
6183,am feeling curious,,eat a hot dog with this woman,help liberate trapped animals,i will cut the grass once these women leave.,watch and learn how to milk a cow,offer the children more milk,lan,vis,vis,targ,lan,3
6195,if want to feed the animal,,approach these guys and join in the conservation.,stand close to the bull and take a photograph,i will gevi some milk to the lamb,i will drink some wine,i will eat some food,vis,vis,targ,lan,lan,2
6197,want to take my turn,,be amazed at the speed of the woman on the skateboard,hit the frisbee out of their hands,wait for the girl to finish feeding the giraffe.,i will throw corn to those birds.,stock pigs,lan,lan,targ,vis,vis,2
6211,was feeling bored,,cede my seat to a bird,take my kite out to the backyard,go ride horses with these women.,come and watch the cows,i will move the big bird,vis,lan,lan,targ,vis,3
6212,have a free afternoon,,visit lots of animals at this park,help the man build the bird cage,sheer a sheep's wool.,go to the zoo and feed giraffes,go see the cows,lan,vis,vis,lan,targ,4
6214,want to see animals,,go find my cow,take my kite out to the backyard,make some more knit animals to add to the scene,take a trip to see the giraffe,race the ladies chopping vegetables,targ,lan,vis,lan,vis,0
6222,if i walk for a long time i have to have water,,i will get something to drink,make some more knit animals to add to the scene,make my way into the water,i will accompany the man and enjoy hunting the animals,watch the man sheer the sheep,lan,vis,lan,targ,vis,3
6225,wanted to see a bunch of animals,,help the man build the bird cage,go to the zoo and feed the giraffes,visit a cow farm.,feed the horse a carrot,let out a wolf whistle to compliment the man's legs,vis,lan,targ,lan,vis,2
6226,way to the slaughterhouse to process the meat,,eat the child's food,i will stay and observe this bird,help the man build the bird cage,give people food,vaccinate the cows so they are healthy,lan,vis,vis,lan,targ,4
6234,feel crafty,,cede my seat to a bird,make some more knit animals to add to the scene,pet a zebra,lie in the grass,volunteer at the animal shelter and help with the kennels.,vis,targ,lan,vis,lan,1
6241,want to help the in feeding,,eat the carrots,get a bucket and feed the sheep,cede my seat to a bird,vaccinate the cows so they are healthy,get in the water,lan,targ,vis,vis,lan,1
6246,want to see animals,,watch the man sheer the sheep,go to the zoo and feed giraffes,go feed some birds,race the ladies chopping vegetables,sit on the deck and watch the birds,vis,lan,targ,vis,lan,2
6248,am in a good mood,,continue petting the horse,race the ladies chopping vegetables,vaccinate the cows so they are healthy,let out a wolf whistle to compliment the man's legs,wait for the man to leave the bench before i sit down,lan,vis,vis,targ,lan,3
6254,want to laugh,,i will do my job and feed the animals,stand outside the fence,see the cow under the umbrella,race the ladies chopping vegetables,jump on the horse,vis,lan,targ,vis,lan,2
6280,want to be grossed out,,see this animals face,blindfold myself and try to eat a hanging doughbut,want to sit on the grass,watch women carve up a dead pig,hang around with the women,vis,lan,vis,targ,lan,3
6281,want to learn something new,,sit back and feed the birds with him,look for giraffes at a farm.,take my horses out for a ride,help the woman shearing the sheep,cede my seat to a bird,vis,lan,lan,targ,vis,3
6284,am feeling sporty,,play a sport with the man,enjoy exercising all day,play a game of tennis with this boy,play a team game of frisbee,sit and watch this man playing frisbee in the park,lan,vis,lan,targ,vis,3
6285,have nothing else to do,,enjoy exercising all day,play some tennis on grass,catch the frisbbe and throw it again,play frisbee in the park,i will go to frisbee park,vis,lan,vis,targ,lan,3
6286,want to play on the grass and exercise,,play with the frisbee all afternoon,put the frisbee down and have a rest,catch the frisbbe and throw it again,play with the frisbee on the field,enjoy exercising all day,targ,lan,vis,lan,vis,0
6292,want to be active,,enjoy exercising all day,join in the game of frisbee,join the frisbee game,play a game of frisbee,sit and watch this man playing frisbee in the park,vis,lan,targ,lan,vis,2
6324,want to feel sporty,,meet friends at the park and play competitive frisbee,catch the frisbbe and throw it again,i'd play frisbee with the men,throw the ball,try to catch the ball,vis,targ,vis,lan,lan,1
6363,feel like being outside,,go to the park and make some tricks with my skateboard,get more exercise,play in the park with my skateboard.,jump up on the lawn and catch a frisbee from the air,take my dog out for a game fribsee,lan,vis,lan,targ,vis,3
6364,was feeling athletic,,join the biker,join my friends,join this man playing frisbee,run off the grass where the women are playing frisbee,get more exercise,lan,lan,targ,vis,vis,2
6379,played in nature,,play frisbie with the dog,join a snowboarding competition on this mountain,use a stick to play on the grass,go rock climbing.,go on my surfboard and catch some waves,vis,lan,vis,targ,lan,3
6399,exercise it will be fun,,i will play frisbee with the little girl,get more exercise,play a sport with the man,learn to throw a frisbee like the man,join the man doing skateboard tricks,vis,vis,lan,targ,lan,3
6401,want to improve my fitness,,go rock climbing.,play with my frisbee,i will play with my frisbee,try to join the group of men playing frisbee.,take my dog out for a game fribsee,vis,lan,lan,vis,targ,4
6411,felt lie spending time outside in nature and the sunshine,,grab a frisbee and head for the park to play a game,go to the field with my friends and play some baseball,play frisbee with this woman and child.,walk into the man playing a game of frisbee,i will play frisbee with these people,targ,lan,vis,lan,vis,0
6413,want to descend from the hill like flying,,eat some dishes of food,jump up on the lawn and catch a frisbee from the air,enjoy exercising all day,play wiffleball in the backyard with everyone,eat cake and ice cream,lan,vis,targ,vis,lan,2
6456,am feeling thirsty,,drink from a cup,take the milkshake off the table.,wash my hands in the bathroom,will listen to this audio while i have a glass of wine,smoke a cigarette and watch a movie on tv,targ,lan,lan,vis,vis,0
6457,am thirsty,,reach for something to drink,have drinks with friends at a restaurant,go out to a restaurant with them,eat dinner with my friends,i will open this refrigerated cold bottle to celebrate right away.,vis,targ,lan,lan,vis,1
6458,want to quench my thirst,,stand beside the men in black and listen to the table operators talk about wine,smoke a cigarette and watch a movie on tv,have a splash in the sea,take my teddy to the beach to paddle in the water,take a drink of my bottled water,vis,vis,lan,lan,targ,4
6459,feel thirsty,,will listen to this audio while i have a glass of wine,drink a bottle of water,eat a bowl of food,go into the bathroom and look for medication,stand beside the men in black and listen to the table operators talk about wine,vis,targ,lan,lan,vis,1
6460,am thirsty,,take the milkshake off the table.,have a drink from the microwave,will listen to this audio while i have a glass of wine,drink from the cup,stand beside the men in black and listen to the table operators talk about wine,lan,lan,vis,targ,vis,3
6461,am thirsty,,drink lots of wine at the wine bar.,go for a meal at a restaurant,make a phone call while smoking a cigarette,i will open this refrigerated cold bottle to celebrate right away.,go to a party and eat cake,targ,lan,vis,vis,lan,0
6462,am thirsty,,volunteer to work the wine table at our function,smoke a cigarette and watch a movie on tv,get in the water,take a sip of water from a bottle,take a shower in the bathroom,vis,vis,lan,targ,lan,3
6463,was feeling thirsty,,pick up some grapes,taste many varieties of wine like this man.,smoke a cigarette and watch a movie on tv,enjoy this day cooking with my friends,make a phone call while smoking a cigarette,lan,targ,vis,lan,vis,1
6464,am taking a picture with a friend,,have cake and champagne,have a glass of wine,stand beside the men in black and listen to the table operators talk about wine,make a phone call while smoking a cigarette,read a book while cooking with a pot,lan,targ,vis,vis,lan,1
6466,if i was inside,,leave the bedroom with the woman in it,i would go party with this lady,i would chat and drink wine with this woman,get my glass filled up again,with a little effort you can enjoy a good natural juice,lan,lan,targ,vis,vis,2
6467,want to be social,,test some wine from a barrel,sit at the table and drink and visit with others,eat dinner with people and socialise,go to the table and eat with my friends,taste the wine,vis,targ,lan,lan,vis,1
6468,felt blue and didn't wish to be alone,,make sure to fill the players' bottles with water so they don't dehydrate,find this sober meeting and sit down and listen!,go to this bar and talk to people,have a drink with this woman,taste the wine with the woman,vis,targ,lan,lan,vis,1
6470,want to relax,,sit at a table and drink wine with friends,will listen to this audio while i have a glass of wine,get a bottle to share with him,have a meal with my friends,go to the table and eat with my friends,targ,vis,vis,lan,lan,0
6476,soaking up the sun and chatting up my homies,,go to a nice dinner gathering with my fiends,eat cake and enjoy myself with this family and baby.,drink my adult beverage and rejoice in my life and friends,be at a function giving wine to people,wait at a bar,lan,lan,targ,vis,vis,2
6477,feel indulgent,,sit on my motorcycle and have a drink,i would chat and drink wine with this woman,kill this cup in the microwave to heat the coffee,refill my empty drinking glass,eat some food and drink some wine,lan,vis,lan,targ,vis,3
6478,want to be sociable,,eat some food and drink some wine,have a drink with a group of friends,i will open this refrigerated cold bottle to celebrate right away.,attend this party and socialize with this group,go out with them to a restaurant.,vis,targ,vis,lan,lan,1
6479,want to party,,make a phone call while smoking a cigarette,have a glass of wine also,read a book while cooking with a pot,go to the banqueting table for some food and wine,go into the coffee shop and buy a coffee,vis,targ,lan,lan,vis,1
6483,want to get some money,,with a little effort you can enjoy a good natural juice,being sick after party,walk down the street like the other people,talk on the phone,make a phone call while smoking a cigarette,vis,vis,lan,lan,targ,4
6489,wanted to impress my employer,,have some wine and cake with the people,smoke a cigarette,attend a house party with a kitchenaid mixer on top of the fridge,make some tea,volunteer to work the wine table at our function,lan,vis,lan,vis,targ,4
6491,am celebrating,,able to reach a bottle so i can have a taste,i will open this refrigerated cold bottle to celebrate right away.,eat a meal with my family,drink a glass of wine,eat a meal with pasta,vis,vis,lan,targ,lan,3
6493,could join in the conversation,,go to this bar and talk to people,put that bottle of water in my bag,get a bottle to share with him,have dinner out with some friends,have a drink and chat,lan,vis,vis,lan,targ,4
6504,can get into the line,,have some chocolate,attend a bartending class,able to reach a bottle so i can have a taste,go to the bar with friends after,eat something that i like,lan,vis,targ,vis,lan,2
6512,want to cheer them up,,host a coffee klatsche and invite my friends,i will finish drinking this drink,i will drink the soda,offer to buy the people another bottle of wine,buy food from the boy cooking,lan,vis,vis,targ,lan,3
6517,if i needed to relax.,,i will drink my drink and watch people walk by.,i will eat at a picnic table,have a glass of wine by the old metal stove,i will throw a frisbee.,go for a tasting session,targ,lan,vis,lan,vis,0
6531,want to socialize,,go to the bar and drink a bottle of alcohol with the girl,go to the banqueting table for some food and wine,sit down in a chair with a drink,taste many varieties of wine like this man.,refill my empty drinking glass,targ,lan,lan,vis,vis,0
6535,am thirsty,,check the refrigerator to see what we need,i will try and learn about different types of alcohol.,open the door of the refrigerator and find a drink,avoid these people drinking shots,open the oven to see what's cooking.,lan,vis,targ,vis,lan,2
6536,am feeling hungry,,eat a plate of ribs,eat some pizza,refill my empty drinking glass,eat some food and drink some wine,test some wine from a barrel,lan,lan,vis,targ,vis,3
6545,want to chill out and relax,,say hi to the girls,have dinner out with some friends,get a bottle to share with him,grab a drink and chat,taste many varieties of wine like this man.,lan,lan,vis,targ,vis,3
6548,want to relax after a long day,,with a little effort you can enjoy a good natural juice,play video games with my friends,taste many varieties of wine like this man.,play some videogames with my friends,sit on my couch and drink a glass of wine with my family.,vis,lan,vis,lan,targ,4
6550,want to get drunk,,go to the banqueting table for some food and wine,sit at the table and drink wine,being sick after party,with a little effort you can enjoy a good natural juice,enjoy a meal at the table,lan,targ,vis,vis,lan,1
6563,feel like relaxing,,play video games with friends.,refill my empty drinking glass,smoke a cigarette and watch a movie on tv,able to reach a bottle so i can have a taste,play video games all the night,lan,vis,targ,vis,lan,2
6605,want to socialize with my friends,,drink wine with them,go outside and relax with a drink,have a meal with candles,throw a party,able to reach a bottle so i can have a taste,targ,vis,lan,lan,vis,0
6618,need to quench my thirst,,go wine tasting with these men,go into the coffee shop and buy a coffee,i will drink the soda,take a bus to another city,read a magazine at the coffee shop.,vis,targ,vis,lan,lan,1
6624,if i celebrate my happiness it begins now.,,i will open this refrigerated cold bottle to celebrate right away.,put a cake on sale on my coffe store,kill this cup in the microwave to heat the coffee,order the man at the bar a drink,smoke a cigarette,targ,lan,lan,vis,vis,0
6630,am feeling thirsty,,take a plate and help myself to some of the desserts on the table,sit down at the table and enjoy a glass of wine.,make sure to fill the players' bottles with water so they don't dehydrate,take the meal to the table,put that bottle of water in my bag,lan,targ,vis,lan,vis,1
6641,if i was there i'd be standing on the balcony.,,go outside and relax with a drink,sit on my motorcycle and have a drink,make a toast to good health with my friends.,go into the coffee shop and buy a coffee,i will try and learn about different types of alcohol.,vis,lan,lan,vis,targ,4
6667,want to hear the ringing tone,,will listen to this audio while i have a glass of wine,attend a bartending class,play the computer game to conduct the orchestra,being sick after party,listen to the woman playing music,targ,vis,lan,vis,lan,0
6675,am curious about wine,,watch the men play a game of football,i will get something to drink,stand beside the men in black and listen to the table operators talk about wine,help myself to a can of coke,wait for the men to stop talking in the kitchen,lan,vis,targ,vis,lan,2
6678,want to win the race,,i will watch the man ride the motorcycle,seat next to a bike and read a book,wear a black helmet while riding a skateboard,use a motorcycle,get rollerblades and skate down the road,vis,vis,lan,targ,lan,3
6679,if only i had something to ride,,i will start skiing to get out of here,join a slope race,i will ride a bicycle when i have time,tell them i am glad they ride safe,i will start skiing,lan,vis,targ,vis,lan,2
6680,want to have fun,,tie dead chickens to my motor bike to take home,ride the motorcycle,help the person who has fallen off their bike,ride the waves on my surfboard,ride this horse with this man,vis,targ,vis,lan,lan,1
6681,want to get home after a hard day's work,,drive the motorcycle to get home,run them over in the road.,challenge the people to a race,get on the bus even if i have my bicycle with me,find out information about motorbikes,targ,lan,vis,lan,vis,0
6682,want to get some exercise,,look at some motorcycles and also buy some boots,ride my bike on the street,tell the lady to put a helmet on that kid,walk on the sidewalk,ride my skateboard,vis,targ,vis,lan,lan,1
6683,am getting robbed,,park my bicycle and consult a guidebook,walk past the man and his motorcycle to get to the street,save all my extra money so that i can buy a motorcycle,say hello to the officer,yell for the cop on the motorcycle,vis,lan,vis,lan,targ,4
6684,want to get the blood pumping,,ride a horse in the rodeo.,help the person who has fallen off their bike,seat next to a bike and read a book,take a ride on the aerial tramway,ride a motercycle,lan,vis,vis,lan,targ,4
6686,get behind him,,i will help the child on his scooter,i will go ride my skateboard.,look at some motorcycles and also buy some boots,peddle my bike and sharpen my knife,i will put on a helmet and ride the skateboard,targ,lan,vis,vis,lan,0
6687,need to get to the market,,catch a ride on the subway,take the train,tell the lady to put a helmet on that kid,look at some motorcycles and also buy some boots,ride my the bicycle,lan,lan,vis,vis,targ,4
6688,don't what directions to take,,sit on my skateboard instead of actually riding it.,go to skateboard park at night and try dangerous tricks,i will drive a motorcycle like the men,tell the lady to put a helmet on that kid,park my bicycle and consult a guidebook,lan,lan,vis,vis,targ,4
