id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
5514,want to be popular,,learn to play tennis like the player,glance back to see how close my opponents are,learn to play ball,watch the small child learn to play baseball,use my forehand hit with accuracy,lan,vis,targ,lan,vis,2
5515,if i feel sporty,,hold the raquet just so and fire a perfect volley.,grab my glove and take a position in this game.,i will throw the bat away and run to the base,i will hit the ball,run onto the field and intervene the players,vis,lan,lan,targ,vis,3
5516,feel nervous,,swing my bat,run onto the field and intervene the players,hit the baseball,hit this ball out of the park,hold the raquet just so and fire a perfect volley.,lan,vis,lan,targ,vis,3
5517,try to help my team,,watch the girls finish the play to see if the runner is out,play a game of baseball with my teammates,watch what is happening on the field,play baseball with my team,throw the ball to a member of my team,vis,lan,vis,lan,targ,4
5518,i feel sporty,,wait for the woman to finish,return the volley,i will see if the woman passes the ball,i will hit the baseball ball,hold the raquet just so and fire a perfect volley.,lan,vis,targ,lan,vis,2
5519,like the sport,,watch what is happening on the field,watch the practice to see if the raiders have gotten any better,will run to hit the ball with my racket,watch this game on tv,use my racquet to hit the ball,targ,lan,vis,lan,vis,0
5520,you will see the trick i will do,,play a game with man,catch the frisbbe and throw it again,play the ball like that,watch what is happening on the field,instead sit on the sidelines and watch him instead,lan,lan,targ,vis,vis,2
5521,want to win for my team,,watch what is happening on the field,take a swing with my bat,instead sit on the sidelines and watch him instead,hit the baseball with my bat,hit the ball as hard as i can,vis,lan,vis,lan,targ,4
5522,knew perfect balance,,touch the player before he gets home,i'll throw this ball,play soccer with the ball on the field,practice my swing for tennis,hold the raquet just so and fire a perfect volley.,vis,vis,lan,lan,targ,4
5523,have the opportunity,,run fast to the base,cheer for the player when he hits the ball,cheer on the boy if he hits the baseball,stop running past the base,cheer for the player at bat,vis,targ,lan,vis,lan,1
5524,want to win,,hold the raquet just so and fire a perfect volley.,hit the baseball out of the park.,instead sit on the sidelines and watch him instead,hit the ball,catch it in my glove,vis,lan,vis,targ,lan,3
5525,went to a sport event to watch,,run with my baseball,throw my bat in the air,run onto the field and intervene the players,catch the ball with my glove,instead sit on the sidelines and watch him instead,lan,lan,vis,targ,vis,3
5526,want a good hit,,instead sit on the sidelines and watch him instead,hit the baseball out of the park.,hit the ball as far as i can,run onto the field and intervene the players,catch the frisbbe and throw it again,vis,lan,targ,vis,lan,2
5527,if i feel sporty,,i will throw the bat away and run to the base,hold the raquet just so and fire a perfect volley.,watch the girls finish the play to see if the runner is out,catch it in my glove,i will kick the ball,lan,vis,vis,lan,targ,4
5528,want to have fun in the sun,,play withmy frisbee on the park,play a game of wiffle ball,play frisbee in the park.,hold the raquet just so and fire a perfect volley.,watch the girls finish the play to see if the runner is out,lan,targ,lan,vis,vis,1
5529,like to win,,smile at the girl,tag the runner and trip him at the same time,instead sit on the sidelines and watch him instead,say hello to the girls,hit the ball like this girl does,lan,vis,vis,lan,targ,4
5530,want to score a touchdown,,grab the ball and run,watch what is happening on the field,hold the raquet just so and fire a perfect volley.,catch the frisbbe and throw it again,grab my glove and take a position in this game.,targ,vis,vis,lan,lan,0
5531,want to win,,instead sit on the sidelines and watch him instead,follow the umpire instructions.,serve the ball,watch the girls finish the play to see if the runner is out,play a game of rugby,vis,lan,targ,vis,lan,2
5532,want to win,,hit the ball,hit the baseball with the bat,hold the raquet just so and fire a perfect volley.,catch the frisbbe and throw it again,instead sit on the sidelines and watch him instead,targ,lan,vis,lan,vis,0
5533,want to watch them play,,hold the raquet just so and fire a perfect volley.,watch from the sidelines,watch this game on tv,watch the players in the game,retrieve it and throw it back to the boy on the court.,vis,targ,lan,lan,vis,1
5534,focus really hard,,glance back to see how close my opponents are,knock the ball out of the park,watch kids playing baseball,play baseball with the bat and the ball,watch the girls finish the play to see if the runner is out,vis,targ,lan,lan,vis,1
5535,was feeling confident.,,glance back to see how close my opponents are,play soccer with the ball on the field,attack the ball with a big hit.,applaud the player's hit.,watch what is happening on the field,vis,lan,targ,lan,vis,2
5536,enjoyed this sport,,i will bowl a ball at the batsman,be able to knock the other silver balls off the sand,watch the player hit the ball,stop and watch the men play,cheer when the player throws thw baseball,vis,vis,targ,lan,lan,2
5537,feel playful,,watch the girls finish the play to see if the runner is out,steal the banana on the table,steal the ball,hold the raquet just so and fire a perfect volley.,play soccer with the ball on the field,vis,lan,targ,vis,lan,2
5538,feel like playing outside,,join in playing baseball with the man,join in on the ball game,focus on aiming this tiny green ball,watch the girls finish the play to see if the runner is out,play a game of wiffleball in the backyard,lan,targ,vis,vis,lan,1
5539,am sporty,,play racket tennis to win this game,practice my swing for tennis,retrieve it and throw it back to the boy on the court.,concentrate hard on the ball,tag the runner and trip him at the same time,lan,lan,vis,targ,vis,3
5540,want to be mean,,use my forehand hit with accuracy,run out on the field and steal the ball,glance back to see how close my opponents are,catch the baseball and get the other team out,play on a baseball field,vis,targ,vis,lan,lan,1
5541,want to win the game,,play soccer,retrieve it and throw it back to the boy on the court.,watch what is happening on the field,play a game of soccer,kick the ball in the goal,lan,vis,vis,lan,targ,4
5542,want to win,,instead sit on the sidelines and watch him instead,run onto the field and intervene the players,take a turn at bat,grab my glove and take a position in this game.,hit the ball,vis,vis,lan,lan,targ,4
5543,want to win the match,,run onto the field and intervene the players,catch the frisbbe and throw it again,hit the baseball and get a base hit,instead sit on the sidelines and watch him instead,need to hit the ball very hard,vis,lan,lan,vis,targ,4
5544,want to take an action shot,,walk off the court,play soccer with the ball on the field,practice hitting the baseball,watch what is happening on the field,wait until the goalie catches the ball,vis,lan,lan,vis,targ,4
5545,wnat to get a hit,,hit the ball with the bat,instead sit on the sidelines and watch him instead,wiat for the right pitch,catch the ball with my mit and tag the other player,hit the ball with my bat,lan,vis,targ,vis,lan,2
5546,wonder if he'll hit a field goal.,,catch the ball and get him out.,watch her hit this tennis ball,play with the boy,prepare him to play baseball,watch the girls finish the play to see if the runner is out,targ,vis,lan,lan,vis,0
5547,want to win the match,,practice baseball so hard to avoid starting at the bench,tag the runner and trip him at the same time,help my team win the soccer match,retrieve it and throw it back to the boy on the court.,need to play the ball in the right place,lan,vis,lan,vis,targ,4
5548,want to win the point,,hit the ball,hold the raquet just so and fire a perfect volley.,catch the frisbbe and throw it again,watch the girls finish the play to see if the runner is out,catch it in my glove,targ,vis,lan,vis,lan,0
5549,am feeling sporty,,glance back to see how close my opponents are,watch the girls finish the play to see if the runner is out,concentrate and swing the bat hard to hit the ball.,hit the baseball out of the park.,hit the ball back at the man,vis,vis,lan,lan,targ,4
5550,am paying attention,,try throwing a ball to the girl and explain how to hit it.,keep away from the frisbee,keep my eye on the ball,hit the baseball,retrieve it and throw it back to the boy on the court.,vis,lan,targ,lan,vis,2
5551,want to win,,hit the ball,watch the girls finish the play to see if the runner is out,catch the frisbbe and throw it again,instead sit on the sidelines and watch him instead,hit the baseball and get a base hit,targ,vis,lan,vis,lan,0
5552,want to play a game,,cheer the child that caught the ball,play a ball game,toss the ball to the player,watch what is happening on the field,play a game of soccer,vis,lan,targ,vis,lan,2
5553,can toss this just righ,,run down the beach and jump into the waves,throw the frisbee disc over the tree down the street,be able to knock the other silver balls off the sand,glance back to see how close my opponents are,watch what is happening on the field,lan,lan,targ,vis,vis,2
5554,want to have some fun,,hope the man misses the ball.,watch what is happening on the field,play a game,play a game of tennis,play balls in the sand,vis,vis,lan,lan,targ,4
5555,don't want to be in suspense,,watch the woman play tennis with a professional wilson racquet,focus on aiming this tiny green ball,cheer or boo accordingly when the men score the next goal.,stop running past the base,watch the girls finish the play to see if the runner is out,lan,vis,lan,vis,targ,4
5556,wonder how this will turn out,,walk off the court,cheer on the boy if he hits the baseball,serve an ace,see if the boy hits the ball,concentrate and swing the bat hard to hit the ball.,vis,lan,vis,targ,lan,3
5557,swing at the right time,,grab the baseball off of the tee,catch the frisbbe and throw it again,instead sit on the sidelines and watch him instead,put the ball in play,hold the raquet just so and fire a perfect volley.,lan,lan,vis,targ,vis,3
5558,need to catch my breath,,jump out of the way of the bat,jump out of the way of the baseball player sliding into base,instead sit on the sidelines and watch him instead,cheer the child that caught the ball,stop running past the base,lan,lan,vis,vis,targ,4
5559,feel full of energy,,i would kick the ball,focus on aiming this tiny green ball,i will have to go play with the tennis racket and the ball,watch what is happening on the field,throw a baseball to my teammates,targ,vis,lan,vis,lan,0
5560,had my sports gear and racket,,play doubles in the us open,serve an ace,watch what is happening on the field,hit the ball with my tennis racket.,hope the boy hits the ball,lan,targ,vis,lan,vis,1
5561,i feel excited,,use my glove to play baseball.,watch the girls finish the play to see if the runner is out,watch what is happening on the field,i would hit the ball,use my bat to hit the baseball,lan,vis,vis,targ,lan,3
5562,am feeling competitive.,,hope the man misses the ball.,hit the baseball,hit the baseball,serve an ace,put on a vest and try to get the ball,targ,lan,lan,vis,vis,0
5563,feel confident.,,play a game of soccer,go for the ball and make an intercept.,play soccer with the ball on the field,walk off the court,cheer the child that caught the ball,lan,targ,lan,vis,vis,1
5564,feel like being sporty,,glance back to see how close my opponents are,cheer the child that caught the ball,go up to bat after this boy,throw a ball at the batsman,watch the boy with the racket and ball,vis,vis,lan,targ,lan,3
5565,am feeling sporty,,use my glove to play baseball.,instead sit on the sidelines and watch him instead,catch the ball,catch the frisbbe and throw it again,hold the raquet just so and fire a perfect volley.,lan,vis,targ,lan,vis,2
5566,am determined to win the game,,catch the frisbbe and throw it again,watch the girls finish the play to see if the runner is out,run and catch the baseball,hold the raquet just so and fire a perfect volley.,keep my eye on the ball.,lan,vis,lan,vis,targ,4
5567,am feeling competitive,,pick up another tennis racket and play against the man,retrieve it and throw it back to the boy on the court.,tell the referee about the foul on the soccer field,try to take the ball away from my opponent,watch her hit this tennis ball,lan,vis,lan,targ,vis,3
5568,want to learn how to skate,,practice with cones a lot,play baseball like the team,instead sit on the sidelines and watch him instead,watch what is happening on the field,play volleyball with the team,targ,lan,vis,vis,lan,0
5569,want to participate in sports,,try to catch the baseball if it is a foul ball.,instead sit on the sidelines and watch him instead,glance back to see how close my opponents are,pitch the ball,hit the baseball and get a base hit,lan,vis,vis,targ,lan,3
5570,if i want to win,,watch the players run on the field,grab the baseball off of the tee,grab my glove and take a position in this game.,watch what is happening on the field,i will hit the ball,vis,lan,lan,vis,targ,4
5571,am being mean,,watch the girls finish the play to see if the runner is out,glance back to see how close my opponents are,grab the baseball off of the tee,take the ball,catch it in my glove,vis,vis,lan,targ,lan,3
5572,want to win,,hit the ball,instead sit on the sidelines and watch him instead,catch the frisbbe and throw it again,use my bat to hit the baseball,watch the girls finish the play to see if the runner is out,targ,vis,lan,lan,vis,0
5573,feel like commentating.,,play football on a pitch,watch her hit this tennis ball,play soccer with the ball on the field,roll the ball away.,watch the girls finish the play to see if the runner is out,lan,vis,lan,targ,vis,3
5574,i feel anticipation,,i will watch the tennis player,stop running past the base,i will throw a wiffleball at the man,i will watch to see if the man hits the ball,return the volley,lan,vis,lan,targ,vis,3
5575,want to get attention.,,join in the game of football,hope the man misses the ball.,catch the frisbbe and throw it again,hold the raquet just so and fire a perfect volley.,throw the ball at them.,lan,vis,lan,vis,targ,4
5576,want to win a point,,watch what is happening on the field,instead sit on the sidelines and watch him instead,play racket tennis to win this game,hit the ball with the racket,watch the boy with the racket and ball,vis,vis,lan,targ,lan,3
5577,want to win,,catch the frisbbe and throw it again,instead sit on the sidelines and watch him instead,hit the ball,grab the baseball off of the tee,watch the girls finish the play to see if the runner is out,lan,vis,targ,lan,vis,2
5578,am feeling playful,,hope the man misses the ball.,hide the ball from the child,catch and throw the frisbee back to the kid,play a game of wiffleball in the backyard,instead sit on the sidelines and watch him instead,vis,targ,lan,lan,vis,1
5579,am concentrating on winning,,watch the players run on the field,hit the ball with my racket,play this sport until i win,practice with a tennis ball,run onto the field and intervene the players,vis,targ,lan,lan,vis,1
5580,am feeling sporty,,play a game of rugby,watch the girls finish the play to see if the runner is out,kick the ball,instead sit on the sidelines and watch him instead,play soccer with the ball on the field,lan,vis,targ,vis,lan,2
5581,don't feel like waiting on my partner,,i will run over and hit the ball,throw a baseball to my teammates,use my bat to hit the baseball,practice with cones a lot,watch the girls finish the play to see if the runner is out,targ,lan,lan,vis,vis,0
5582,want to win this match,,focus on aiming this tiny green ball,run out on the field and steal the ball,instead pay attention to the game,run onto the court.,practice cricket with the bat and the ball,targ,vis,lan,vis,lan,0
5583,wanted to make a lot of mony,,use my glove to play baseball.,watch the girls finish the play to see if the runner is out,instead sit on the sidelines and watch him instead,keep the player from hitting a homerun,hit this ball really far,lan,vis,vis,lan,targ,4
5584,want my team to win,,watch her hit this tennis ball,instead sit on the sidelines and watch him instead,play tennis and try to beat my opponent,try to catch the ball so my opponents lose,play a game of baseball with my teammates,vis,vis,lan,targ,lan,3
5585,want to get a souviner,,move into the net to take the shot,catch the baseball.,retrieve it and throw it back to the boy on the court.,play baseball with the bat and the ball,catch a ball in the stands,vis,lan,vis,lan,targ,4
5586,run faster,,glance back to see how close my opponents are,hold the raquet just so and fire a perfect volley.,hit the baseball out of the park.,hit the baseball and get a base hit,get to that ball first,vis,vis,lan,lan,targ,4
5587,want to win,,hit the baseball with my bat,watch the girls finish the play to see if the runner is out,catch it in my glove,instead sit on the sidelines and watch him instead,hit the ball,lan,vis,lan,vis,targ,4
5588,feel sporty,,play soccer with the ball on the field,watch the girls finish the play to see if the runner is out,play soccer in the field,kick the ball,glance back to see how close my opponents are,lan,vis,lan,targ,vis,3
5589,wanted to watch sports,,watch the game,watch the player play baseball,i will see if the woman passes the ball,prepare to shield my face when the girl kicks the ball,watch the player hit the ball,lan,lan,vis,vis,targ,4
5590,am feeling strong,,kick this ball really hard,watch the girls finish the play to see if the runner is out,catch the frisbee and throw it in another direction,watch what is happening on the field,land this skateboard trick,targ,vis,lan,vis,lan,0
5591,want to win the game,,practice hitting the baseball,concentrate and swing the bat hard to hit the ball.,instead sit on the sidelines and watch him instead,cheer the child that caught the ball,hit the ball with the racket,lan,lan,vis,vis,targ,4
5592,am interested in the action,,watch the game from behind the fence,wait to see where the batter hit the ball,glance back to see how close my opponents are,hit the ball with the bat,will run to hit the ball with my racket,targ,lan,vis,lan,vis,0
5593,feel competitive,,watch what is happening on the field,instead sit on the sidelines and watch him instead,practice tennis on my classes,play tennis with a racquet,use my forehand hit with accuracy,vis,vis,lan,lan,targ,4
5594,want to win,,hit the baseball out of the park.,hit the ball,instead sit on the sidelines and watch him instead,hit the baseball with the bat,watch the girls finish the play to see if the runner is out,lan,targ,vis,lan,vis,1
5595,do not want to lose,,do a backward skateboard trick.,watch what is happening on the field,land a trick on the skateboard,run onto the field and intervene the players,slice the ball with a curve,lan,vis,lan,vis,targ,4
5596,am feeling confident,,instead sit on the sidelines and watch him instead,hit the baseball and get a base hit,practice my swing for tennis,hit the ball as hard as i can,run onto the field and intervene the players,vis,lan,lan,targ,vis,3
5597,sit on the grass,,play with the ball,play a sport with the man,watch the boy play,watch the girls finish the play to see if the runner is out,watch what is happening on the field,targ,lan,lan,vis,vis,0
5598,take all of my medicines,,throw the bat and run to the next base,glance back to see how close my opponents are,join in with the game of bowls,throw the ball to my friend,watch what is happening on the field,lan,vis,lan,targ,vis,3
5599,if i want to get some exercise,,i will have to go play with the tennis racket and the ball,i will throw the ball,move into the net to take the shot,catch this frisbee and throw it back to my son.,tag the runner and trip him at the same time,lan,targ,vis,lan,vis,1
5600,am feelling sorty,,instead sit on the sidelines and watch him instead,hit the baseball and get a base hit,catch the ball,hold the raquet just so and fire a perfect volley.,grab the baseball off of the tee,vis,lan,targ,vis,lan,2
5601,if i want to win,,grab my glove and take a position in this game.,tag the runner and trip him at the same time,i have to hit the ball,i will throw the bat away and run to the base,instead sit on the sidelines and watch him instead,lan,vis,targ,lan,vis,2
5602,am energetic,,glance back to see how close my opponents are,sit down on the grass,play a ball game,play ball in the park,watch the girls finish the play to see if the runner is out,vis,lan,lan,targ,vis,3
5603,will run fast.,,will hit the ball the next time.,run onto the field and intervene the players,watch what is happening on the field,catch the frisbee and throw it in another direction,be sure to hit the baseball hoping to get a home run,targ,vis,vis,lan,lan,0
5604,want to win,,hit the baseball with the bat,hit the baseball and get a base hit,hold the raquet just so and fire a perfect volley.,hit the ball,instead sit on the sidelines and watch him instead,lan,lan,vis,targ,vis,3
5605,am feeling determined.,,prepare to shield my face when the girl kicks the ball,use my bat to hit the baseball,grab the baseball off of the tee,instead sit on the sidelines and watch him instead,stretch to hit the ball.,vis,lan,lan,vis,targ,4
5606,want to get in shape,,retrieve it and throw it back to the boy on the court.,hit the ball more often.,hit the baseball and get a base hit,catch the frisbbe and throw it again,cheer the child that caught the ball,vis,targ,lan,lan,vis,1
5607,want to succeed and feel proud of myself,,run onto the field and intervene the players,hit the baseball with my bat,hit the ball as far as i can,instead sit on the sidelines and watch him instead,hit someone with the bat,vis,lan,targ,vis,lan,2
5608,want to work out,,play a game of soccer,hit the ball with the racket,glance back to see how close my opponents are,grab my tennis racket and ball,cheer the child that caught the ball,lan,targ,vis,lan,vis,1
5609,hope he doesn't hit someone,,hold the raquet just so and fire a perfect volley.,instead sit on the sidelines and watch him instead,play baseball with the bat and the ball,grab the baseball off of the tee,try to catch the ball,vis,vis,lan,lan,targ,4
5610,felt sporty,,tag the runner and trip him at the same time,watch the girls finish the play to see if the runner is out,play a sport with the man,play soccer with this group,kick the ball,vis,vis,lan,lan,targ,4
5611,want to have fun,,be able to knock the other silver balls off the sand,watch the game,watch the player hit the ball,cheer the child that caught the ball,watch the players play,vis,lan,targ,vis,lan,2
5612,swing hard enough,,hit the ball over the fence,hit the baseball with the bat,practice swinging the bat,instead sit on the sidelines and watch him instead,prepare to shield my face when the girl kicks the ball,targ,lan,lan,vis,vis,0
5613,feeling sporty,,try to catch the baseball if it is a foul ball.,catch the frisbbe and throw it again,hold the raquet just so and fire a perfect volley.,instead sit on the sidelines and watch him instead,catch the ball,lan,lan,vis,vis,targ,4
5614,am feeling like i want to win the game,,hit the ball with my bat.,hit the ball with the bat,hold the raquet just so and fire a perfect volley.,swing at the ball.,retrieve it and throw it back to the boy on the court.,lan,lan,vis,targ,vis,3
5615,am also playing,,watch the kid hit the baseball,retrieve it and throw it back to the boy on the court.,return the volley,watch what happens to the ball,follow the umpire instructions.,lan,vis,vis,targ,lan,3
5616,am playing,,instead sit on the sidelines and watch him instead,toss the ball past the man,indicate to the man to toss me the frisbee,cheer the child that caught the ball,concentrate on the baseball field,vis,targ,lan,vis,lan,1
5617,if i am competitive.,,i will play a game of ball.,watch the players run on the field,hold the raquet just so and fire a perfect volley.,grab my tennis raquet firmly and hit the ball,i will play baseball with a team.,targ,vis,vis,lan,lan,0
5618,am her opponent,,play baseball with the bat and the ball,return the ball when the woman hits it to me,study the woman's serve and try to apply it when i play tennis next.,instead sit on the sidelines and watch him instead,hold the raquet just so and fire a perfect volley.,lan,targ,lan,vis,vis,1
5619,i feel excited,,i will try to hit the ball,i will show you how to swing the bat.,use my bat to hit the baseball,watch what is happening on the field,run onto the field and intervene the players,targ,lan,lan,vis,vis,0
5620,want to practice new skills,,catch the frisbee and throw it in another direction,play a game of rugby,hope the man misses the ball.,kick the ball high,glance back to see how close my opponents are,lan,lan,vis,targ,vis,3
5621,want to score a point,,toss the ball into the hoop,instead sit on the sidelines and watch him instead,grab my tennis racket and ball,sit down and watch the girl play ball,run onto the field and intervene the players,targ,vis,lan,lan,vis,0
5622,feel like being sporty,,i will bowl a ball at the batsman,move into the net to take the shot,hold the raquet just so and fire a perfect volley.,watch a cricket match,go up to bat after this boy,targ,vis,vis,lan,lan,0
5623,want to get involved,,i will reach that ball and power kick.,put on a vest and try to get the ball,catch the frisbee when it is thrown,catch the frisbbe and throw it again,practice with cones a lot,vis,targ,lan,lan,vis,1
5624,was feeling excited,,glance back to see how close my opponents are,cheer the player on,cheer the people who win the game of baseball,cheer whether the man hits the ball or not,run really fast to the base,vis,lan,lan,targ,vis,3
5625,want to win,,hold the raquet just so and fire a perfect volley.,hit the ball,catch it in my glove,watch the girls finish the play to see if the runner is out,catch the frisbbe and throw it again,vis,targ,lan,vis,lan,1
5626,am feeling sporty,,glance back to see how close my opponents are,hit the baseball,hit the ball back at the man,instead sit on the sidelines and watch him instead,get out of the baseball field,vis,lan,targ,vis,lan,2
5627,want to win the game,,instead sit on the sidelines and watch him instead,hit the baseball and get a base hit,watch the girls finish the play to see if the runner is out,catch the frisbbe and throw it again,hit the ball,vis,lan,vis,lan,targ,4
5628,want to protect my head,,go the field and play baseball,watch the girls finish the play to see if the runner is out,wear a helmet while playing ball,play baseball,glance back to see how close my opponents are,lan,vis,targ,lan,vis,2
5629,want to win,,hit the ball,catch it in my glove,watch the girls finish the play to see if the runner is out,instead sit on the sidelines and watch him instead,jump out of the way of the bat,targ,lan,vis,vis,lan,0
5630,wonder if he'll hit it.,,retrieve it and throw it back to the boy on the court.,catch the ball.,catch the frisbbe and throw it again,move into the net to take the shot,catch it in my glove,vis,targ,lan,vis,lan,1
5631,make it,,throw another ball at the bat.,jump out of the way of the bat,watch the girls finish the play to see if the runner is out,run really fast to the base,cheer the child that caught the ball,lan,lan,vis,targ,vis,3
5632,want to be athletic,,watch what is happening on the field,play ball with the man,hold the raquet just so and fire a perfect volley.,play baseball,play tennis with the cute little boy,vis,targ,vis,lan,lan,1
5633,am feeling brave,,hit a home run,concentrate on the baseball field,run after the ball this man hits,focus on aiming this tiny green ball,cheer the child that caught the ball,lan,lan,targ,vis,vis,2
5634,want to play,,take the ball from the men.,cheer the child that caught the ball,play soccer with these men.,instead sit on the sidelines and watch him instead,play a game of soccer,targ,vis,lan,vis,lan,0
5635,want to win the game,,talk with my teammates on the mound,grab my racket and play in a tennis match,watch what is happening on the field,focus on aiming this tiny green ball,steal the ball from my opponent,lan,lan,vis,vis,targ,4
5636,can block the rider,,play on a baseball field,sneak behind this unaware team of players and steal one of the gloves on the fence,instead sit on the sidelines and watch him instead,be able to steal the ball,watch the girls finish the play to see if the runner is out,lan,lan,vis,targ,vis,3
5637,feel the competitive edge,,get ready to strike that ball,watch the girls finish the play to see if the runner is out,use my bat to hit the baseball,practice with cones a lot,catch it in my glove,targ,vis,lan,vis,lan,0
5638,if i want to win this game,,run onto the field and intervene the players,use my bat to hit the baseball,hold the raquet just so and fire a perfect volley.,i will throw the bat away and run to the base,i will throw the ball hard,vis,lan,vis,lan,targ,4
5639,want to win,,kick the ball,play a sport with the man,glance back to see how close my opponents are,watch kids play soccer,watch the girls finish the play to see if the runner is out,targ,lan,vis,lan,vis,0
5640,want to win the game,,serve the ball and beat my opponent,i will play a game of tennis,retrieve it and throw it back to the boy on the court.,play a game of baseball with my teammates,cheer the child that caught the ball,targ,lan,vis,lan,vis,0
5641,want to exercise in the field to be in good physical shape,,hit the ball with the racket very strong,be playing tennis with the best tennis racket,watch what is happening on the field,instead sit on the sidelines and watch him instead,use the racket to play tennis,targ,lan,vis,vis,lan,0
5642,feel naughty,,yell to distract him so he misses the ball,use the bat to hit the ball.,prepare to shield my face when the girl kicks the ball,kick the soccer ball before the other boy,cheer the child that caught the ball,targ,lan,vis,lan,vis,0
5643,improve my game,,instead sit on the sidelines and watch him instead,practice a lot with my skateboard,practice hitting a ball off the tee,try hard to hit the baseball,retrieve it and throw it back to the boy on the court.,vis,lan,targ,lan,vis,2
5644,feel like standing around,,throw the ball,hold the raquet just so and fire a perfect volley.,catch the frisbee and throw it in another direction,catch the frisbbe and throw it again,watch the girls finish the play to see if the runner is out,targ,vis,lan,lan,vis,0
5645,win a game,,hit the ball,use my bat to hit the baseball,grab my glove and take a position in this game.,hold the raquet just so and fire a perfect volley.,watch the girls finish the play to see if the runner is out,targ,lan,lan,vis,vis,0
5646,want to join in on the celebration,,watch her hit this tennis ball,retrieve it and throw it back to the boy on the court.,cheer with the players on the field,join in the game of football,cheer for the boys playing soccer,vis,vis,targ,lan,lan,2
5647,like excitement,,run out onto the court,grab my tennis racket and ball,run onto the field and intervene the players,watch her hit this tennis ball,use my tennis racket,vis,lan,vis,targ,lan,3
5648,want to win the game,,instead sit on the sidelines and watch him instead,catch the ball,catch this frisbee and throw it back to my son.,hold the raquet just so and fire a perfect volley.,grab the baseball off of the tee,vis,targ,lan,vis,lan,1
5649,want to win,,use the raquet to hit the ball,practice hitting the baseball,use the bat and play tennis,play in the grass,i will take this ball,targ,lan,lan,vis,vis,0
5650,want to be the best,,catch the ball,catch the frisbee and throw it in another direction,catch the frisbbe and throw it again,glance back to see how close my opponents are,hold the raquet just so and fire a perfect volley.,targ,lan,lan,vis,vis,0
5651,feel confident,,try to catch the baseball if it is a foul ball.,hold the raquet just so and fire a perfect volley.,attempt to bat the ball,throw the pitch right over the batter's head,instead sit on the sidelines and watch him instead,lan,vis,targ,lan,vis,2
5652,want to win,,catch the frisbbe and throw it again,hold the raquet just so and fire a perfect volley.,throw the ball,grab the baseball off of the tee,watch the girls finish the play to see if the runner is out,lan,vis,targ,lan,vis,2
5653,want to get the other player out,,hold the raquet just so and fire a perfect volley.,catch the ball in my mitt,run onto the field and intervene the players,grab my glove and take a position in this game.,catch it in my glove,vis,targ,vis,lan,lan,1
5654,feel like encouraging,,catch this yellow softball,cheer the child that caught the ball,watch the players run on the field,touch the player before he gets home,cheer the player on,lan,targ,vis,vis,lan,1
5655,want to feel proud,,catch the frisbee and throw it in another direction,watch the girls finish the play to see if the runner is out,play on a baseball field,instead sit on the sidelines and watch him instead,catch the ball,lan,vis,lan,vis,targ,4
5656,if i want to win,,i have to get the ball from the other player,instead sit on the sidelines and watch him instead,take a photo of the player,watch the girls finish the play to see if the runner is out,keep the player from hitting a homerun,targ,vis,lan,vis,lan,0
5657,want to know the score,,instead sit on the sidelines and watch him instead,grab my soccer ball and toss it in the air,follow the umpire instructions.,practice cricket with the bat and the ball,talk to the batsman,vis,vis,lan,lan,targ,4
5658,feel like a challenge,,watch the girls finish the play to see if the runner is out,try to catch the ball,throw the pitch right over the batter's head,catch the frisbbe and throw it again,retrieve it and throw it back to the boy on the court.,vis,targ,lan,lan,vis,1
5659,like shouting for joy,,i will play a game of ball.,dodge so the tennis ball will not hit me,watch people play baseball,wait for the player to hit the ball,play a game of soccer,vis,vis,lan,targ,lan,3
5660,want to win,,hit the baseball out of the park.,instead sit on the sidelines and watch him instead,hit the ball,take a turn at bat,watch the girls finish the play to see if the runner is out,lan,vis,targ,lan,vis,2
5661,want to feel athletic,,hit the ball more often.,instead sit on the sidelines and watch him instead,hit the baseball and get a base hit,hit the baseball with the bat,retrieve it and throw it back to the boy on the court.,targ,vis,lan,lan,vis,0
5662,want to be mean,,grab my glove and take a position in this game.,hold the raquet just so and fire a perfect volley.,instead sit on the sidelines and watch him instead,catch the frisbbe and throw it again,take the ball,lan,vis,vis,lan,targ,4
5663,want to be the best,,instead sit on the sidelines and watch him instead,glance back to see how close my opponents are,hit that ball,watch the batter swing the bat.,hit the baseball with the bat,vis,vis,targ,lan,lan,2
5664,want to win the game,,play with the boy,watch the boy play,watch the players run on the field,get the boy out with this ball,hold the raquet just so and fire a perfect volley.,lan,lan,vis,targ,vis,3
5665,want to do a perfect serve,,hit the ball perfectly with my racquet,run onto the field and intervene the players,instead sit on the sidelines and watch him instead,practice my swing for tennis,i will have to go play with the tennis racket and the ball,targ,vis,vis,lan,lan,0
5666,score a home run,,glance back to see how close my opponents are,catch the frisbbe and throw it again,watch what is happening on the field,hit the ball hard,hit the baseball and get a base hit,vis,lan,vis,targ,lan,3
5667,if i take this ball,,catch it in my glove,challenge roger to a game,i will take this ball,run onto the field and intervene the players,hold the raquet just so and fire a perfect volley.,lan,lan,targ,vis,vis,2
5668,playing the game,,hold the raquet just so and fire a perfect volley.,catch this frisbee and throw it back to my son.,catch the ball the man has thrown to me,move into the net to take the shot,catch the baseball,vis,lan,targ,vis,lan,2
